"country","year","x","y"
"A",1990,2.91745918430388,30.005640513491
"B",1990,1.00677538756281,22.5455587488791
"C",1990,3.00204190099612,10.1058357049418
"D",1990,5.81515297922306,25.9530183504613
"E",1990,8.26580518484116,16.5598245123293
"F",1990,4.13713869638741,20.0132739322795
"G",1990,7.34259760729037,21.1655535649106
"H",1990,8.3421717309393,26.352359859265
"A",1991,1.5292995958589,28.8491085857379
"B",1991,2.60364437056705,26.2111549466925
"C",1991,4.15544986445457,18.5508003120025
"D",1991,3.01109239389189,19.3172808574092
"E",1991,7.20203690230846,19.9588533737228
"F",1991,7.32444730121642,25.4347860196327
"G",1991,8.58627483970486,22.4447938021966
"H",1991,8.57299103261903,22.9080932559753
"A",1992,1.40271496330388,23.8552557087775
"B",1992,2.90105963498354,27.4362658042458
"C",1992,3.80506534595042,11.8815510785194
"D",1992,2.03204249194823,19.540200476869
"E",1992,6.65731326956302,19.0210822574551
"F",1992,6.00836373958737,28.4842414566589
"G",1992,7.6049265016336,22.9851920623044
"H",1992,9.3353515858762,28.3133712303217
"A",1993,1.62271805806085,28.7559203228189
"B",1993,1.15314171952195,20.0274221926587
"C",1993,3.82597034564242,21.9663459305267
"D",1993,5.22561462875456,25.1323290018787
"E",1993,8.67780610173941,25.9632891394605
"F",1993,7.06902765482664,23.4152288316863
"G",1993,6.05917716748081,20.8022592831573
"H",1993,9.49281716346741,21.9106380163105
"A",1994,2.36541290255263,27.7794911968974
"B",1994,0.23959159408696,21.6664699599304
"C",1994,3.10922116693109,19.5935797250873
"D",1994,2.06551202037372,23.1157403157814
"E",1994,7.40803981665522,25.1347090601222
"F",1994,7.60044041462243,25.3067634836672
"G",1994,6.77168244542554,19.5906775760165
"H",1994,9.80860916944221,29.6437491904289
"A",1995,1.81247396487743,26.7748977221828
"B",1995,0.126625052886084,25.7174101614417
"C",1995,4.70185226062313,29.7061730300989
"D",1995,3.76344582694583,21.7382850957198
"E",1995,7.12066128943115,19.3139380961816
"F",1995,7.97500044386834,28.9220224023921
"G",1995,6.28936615493149,17.1969140888717
"H",1995,8.61725271865726,19.2683965956243
"A",1996,3.68192014098167,36.9559217916423
"B",1996,1.66758470144123,25.2245685638365
"C",1996,4.32849727571011,21.37764590276
"D",1996,2.13683265889995,21.5706468365089
"E",1996,5.42566403280944,20.7334166777557
"F",1996,6.23100021854043,25.135986657069
"G",1996,6.67856101342477,25.8187439840331
"H",1996,8.13444148609415,24.1992429934
"A",1997,2.72551687271334,31.4282740890946
"B",1997,0.388070523971692,17.5377532127436
